,id,enabled,channels,name,address,postcode,country_id,country_name,country_iso,latitude,longitude,phone,email,url,opening_times,images,tags
0,17294,True,[1],1/2 Price Mattress,"5511 Fruitville Rd, Sarasota, Sarasota County",34232,226,United States,US,27.3394224,-82.459896,(941) 922-2292,,,[],[],"['Adjustable Bases', 'Bedding', 'Furniture', 'Mattresses', 'Pillows', 'Protectors']"
1,17290,True,[1],1/2 Price Mattress,"2108 S Tamiami Trail, Venice, Sarasota County",34293,226,United States,US,27.055459,-82.412077,(941) 922-2292,,,[],[],"['Adjustable Bases', 'Bedding', 'Furniture', 'Mattresses', 'Pillows', 'Protectors', 'Toppers']"
2,17291,True,[1],1/2 Price Mattress,"2672 Tamiami Trail,UNIT 7, Port Charlotte, Charlotte County",33952,226,United States,US,26.992224,-82.1120233,(941) 922-2292,,,[],[],"['Adjustable Bases', 'Bedding', 'Furniture', 'Mattresses', 'Pillows', 'Protectors']"
3,16504,True,[1],"16 Cents, 3 Shoes & 5 Socks","1233 N Division St, Spokane, Spokane County",99202,226,United States,US,47.6691683,-117.4116125,(509) 474-0881,,,[],[],"['Adjustable Bases', 'Furniture', 'Protectors']"
4,16508,True,[1],"16 Cents, 3 Shoes & 5 Socks","6821 N Division St, Spokane, Spokane County",99208,226,United States,US,47.7203726,-117.412056,(509) 466-1600,,,[],[],"['Adjustable Bases', 'Furniture', 'Protectors']"
5,16510,True,[1],"16 Cents, 3 Shoes & 5 Socks","15303 E Sprague Ave,Suite B, Spokane Valley, Spokane County",99037,226,United States,US,47.6585304,-117.1995232,(509) 315-8863,,,[],[],"['Adjustable Bases', 'Furniture', 'Protectors']"
6,16506,True,[1],"16 Cents, 3 Shoes & 5 Socks Clearance Store","2006 N Ash St, Spokane, Spokane County",99205,226,United States,US,47.6760003,-117.4366564,(509) 329-1600,,,[],[],"['Adjustable Bases', 'Furniture', 'Protectors']"
7,16293,True,[1],# 1 Mattress,"20015 Mountain Hwy E, Spanaway, Pierce County",98387,226,United States,US,47.0749851,-122.4228566,(253) 375-6441,,,[],[],"['Adjustable Bases', 'Bedding', 'Pillows', 'Protectors']"
8,16290,True,[1],#1 Mattress,"16621 Meridian Ave E, South Hill, Pierce County",98375,226,United States,US,47.1049464,-122.2926176,(253) 848-0708,,,[],[],"['Adjustable Bases', 'Bedding', 'Pillows', 'Protectors']"
9,16284,True,[1],#1 Mattress,"3916 100th St SW, Lakewood, Pierce County",98499,226,United States,US,47.1669444,-122.4897222,(253) 328-6167,,,[],[],"['Adjustable Bases', 'Bedding', 'Pillows', 'Protectors']"
10,16023,True,[1],2 Brothers Mattress,"539 W University Pkwy, Orem, Utah County",84058,226,United States,US,40.2732388,-111.7078539,(801) 642-4498,,,[],[],"['Adjustable Bases', 'Bedding', 'Furniture', 'Mattresses', 'Pillows', 'Premier', 'Protectors', 'Toppers']"
11,16021,True,[1],2 Brothers Mattress,"4477 Highland Dr., Salt Lake City, Salt Lake County",84124,226,United States,US,40.6747164,-111.841452,(801) 683-6819,,,[],[],"['Adjustable Bases', 'Bedding', 'Furniture', 'Mattresses', 'Pillows', 'Premier', 'Protectors', 'Toppers']"
12,16024,True,[1],2 Brothers Mattress,"13592 S 200 W, Draper, Salt Lake County",84020,226,United States,US,40.5049098,-111.897676,(801) 572-1234,,,[],[],"['Adjustable Bases', 'Bedding', 'Furniture', 'Mattresses', 'Pillows', 'Premier', 'Protectors', 'Toppers']"
13,16025,True,[1],2 Brothers Mattress,"1670 W 9000 S, West Jordan, Salt Lake County",84088,226,United States,US,40.5881869,-111.9375646,(801) 255-3732,,,[],[],"['Adjustable Bases', 'Bedding', 'Furniture', 'Mattresses', 'Pillows', 'Premier', 'Protectors', 'Toppers']"
14,16026,True,[1],2 Brothers Mattress,"88 NW State St, American Fork, Utah County",84003,226,United States,US,40.3784127,-111.8122872,(801) 515-2287,,,[],[],"['Adjustable Bases', 'Bedding', 'Furniture', 'Mattresses', 'Pillows', 'Premier', 'Protectors', 'Toppers']"
15,16972,True,[1],371 Furniture,"16413 MN-371, Brainerd, Crow Wing County",56401,226,United States,US,46.3896289,-94.2650902,(218) 828-3020,,,[],[],"['Adjustable Bases', 'Bedding', 'Mattresses', 'Pillows', 'Premier', 'Protectors']"
16,17056,True,[1],555 Conklin LLC - homePLUS,"555 Conklin Ave, Binghamton, Broome County",13903,226,United States,US,42.1005096,-75.867897,(631) 793-6435,,,[],[],"['Adjustable Bases', 'Bedding', 'Pillows', 'Premier', 'Protectors']"
17,16099,True,[1],Action Home Furniture,"410 W 7200 S, Midvale, Salt Lake County",84047,226,United States,US,40.621029,-111.901921,,,,[],[],"['Mattresses', 'Protectors']"
18,16964,True,[1],Adams Furniture,"394 2nd St, Everett, Middlesex County",2149,226,United States,US,42.4001211,-71.0512351,(617) 387-2424,,,[],[],"['Adjustable Bases', 'Furniture', 'Mattresses', 'Pillows', 'Premier', 'Protectors']"
19,17090,True,[1],Adjustable Beds Center LLC,"26200 Richfield Dr, Lewes, Sussex County",19958,226,United States,US,38.6805247,-75.1999297,(800) 829-4157,,,[],[],['Adjustable Bases']
